"Metering point","OBIS code","Unit","Started at","Value (1-65:1.29.9)","Interval length (min)","Estimated/measured/edited","Version"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T04:30:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T04:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T05:00:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T05:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T05:30:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T05:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T06:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T06:15:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T06:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T06:45:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T07:00:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T07:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T07:30:00+01:00","0.798","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T07:45:00+01:00","0.764","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T08:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T08:15:00+01:00","0.655","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T08:30:00+01:00","0.487","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T08:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T09:00:00+01:00","0.046","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T09:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T09:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T09:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T10:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T10:15:00+01:00","0.062","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-26T10:30:00+01:00","0.000","15","Measured","3"
